runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name,number of agents
5.8e-05,0,2,33,123,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.000129,CG+GR+GC+T+BP with AStarand Decomp,scens/empty-8-8-even-17.scen:,5
0.000359,2,4,80,331,50,50,50,50,1,0,0,0,1,0,0,2,0,0.000161,6e-06,5e-06,0,1e-06,0,5.9e-05,2e-06,3e-06,7e-05,7.8e-05,0.000382,WDG+GR+GC+T+BP with AStarand Decomp,scens/empty-16-16-even-3.scen:,5
0.000545,3,6,318,1399,188,188,188,188,2,1,0,0,1,0,0,0,0,0,2e-06,2.1e-05,0,0,0,4.4e-05,3e-06,7e-06,0.000132,0.000143,0.001216,CG+GR+GC+T+BP with AStarand Decomp,scens/empty-16-16-even-3.scen:,15
0.000163,1,4,61,240,30,30,30,30,0,1,0,0,0,0,0,0,0,0,1e-06,4e-06,4e-06,1e-06,0,3.5e-05,1e-06,1e-06,4e-05,4.4e-05,0.000128,CG+GR+GC+T+BP with AStarand Decomp,scens/empty-8-8-even-17.scen:,5
0.000345,1,3,92,378,50,50,50,50,0,0,0,0,1,0,0,1,0,0.000132,1e-06,3e-06,0,0,0,5.8e-05,1e-06,2e-06,5.1e-05,5.4e-05,0.000276,WDG+GR+GC+T+BP with AStarand Decomp,scens/empty-16-16-even-3.scen:,5
0.011788,32,63,3463,12434,448,448,448,448,27,13,3,1,14,0,0,0,0,1e-06,8e-06,0.000475,0,1e-06,0,2.2e-05,9.4e-05,0.00028,0.004483,0.005002,0.003754,CG+GR+GC+T+BP with AStarand Decomp,scens/empty-16-16-even-9.scen:,40
0.001236,6,13,475,1987,217,217,215,215,0,3,0,0,3,0,0,0,0,2.7e-05,2.8e-05,3.7e-05,1.6e-05,1.9e-05,0,0.000179,8e-06,2.7e-05,0.000435,0.000472,0.001084,CG+GR+DC+T+BP with AStar,scens/empty-16-16-even-9.scen:,20
0.007545,13,28,843,2824,103,103,103,103,11,7,0,0,6,0,0,0,0,0,0,7.9e-05,0,0,0,0,3.1e-05,4.9e-05,0.001026,0.001161,0.0005,WDG+GR+GC+T+BP with AStarand Decomp,scens/empty-8-8-even-21.scen:,20
0.000922,2,4,203,877,120,120,120,120,2,0,0,0,1,0,0,4,0,0.000427,4e-06,1.5e-05,7e-06,1e-06,0,0.000116,1e-06,8e-06,0.000128,0.000142,0.000966,WDG+GR+DC+T+BP with AStarand Decomp,scens/empty-16-16-even-3.scen:,10
0.000182,1,4,84,323,54,54,54,54,0,0,0,0,1,0,0,0,0,0,0,8e-06,0,0,0,0,1e-06,2e-06,3.1e-05,3.3e-05,0.000257,CG+GR+DC+T+BP with AStarand Decomp,scens/empty-8-8-even-17.scen:,10
0.000634,3,6,262,1145,188,188,188,188,1,0,0,0,2,0,0,0,0,0,4e-06,2.2e-05,1.3e-05,1e-06,0,8.6e-05,3e-06,8e-06,0.000168,0.000182,0.001338,CG+GR+GC+T+BP with AStarand Decomp,scens/empty-16-16-even-3.scen:,15
0.000697,2,4,113,486,120,120,120,120,1,1,0,0,0,0,0,3,0,0.00033,4e-06,9e-06,0,1e-06,0,0.000147,2e-06,4e-06,5.9e-05,6.6e-05,0.000773,WDG+GR+DC+T+BP with AStarand Decomp,scens/empty-16-16-even-3.scen:,10
0.011039,16,30,1645,6234,397,397,397,397,12,0,4,0,10,0,0,4,0,0.000433,1.5e-05,0.000213,1.6e-05,1e-06,0,0.000145,4.2e-05,0.000117,0.001833,0.002081,0.003357,WDG+GR+DC+T+BP with AStarand Decomp,scens/empty-16-16-even-9.scen:,35
0.00089,2,4,371,1625,238,238,238,238,3,0,0,0,1,0,0,0,0,0,0,3.7e-05,0,0,0,0,2e-06,9e-06,0.000171,0.000187,0.002129,CG+GR+DC+T+BP with AStarand Decomp,scens/empty-16-16-even-3.scen:,20
0.000163,1,4,61,240,30,30,30,30,0,1,0,0,0,0,0,0,0,0,1e-06,4e-06,4e-06,0,0,3.4e-05,1e-06,1e-06,3.9e-05,4.3e-05,0.000126,CG+GR+GC+T+BP with AStarand Decomp,scens/empty-8-8-even-17.scen:,5
0.00019,1,4,72,283,54,54,54,54,0,0,0,0,1,0,0,0,0,0,1e-06,7e-06,6e-06,1e-06,0,3.5e-05,2e-06,2e-06,2.9e-05,3.2e-05,0.000238,CG+GR+DC+T+BP with AStarand Decomp,scens/empty-8-8-even-17.scen:,10
0.003451,13,24,614,2085,103,103,98,98,8,5,1,0,5,0,0,15,0,0.001511,2.2e-05,5.3e-05,2e-05,3e-06,0,0.00016,1.2e-05,3.7e-05,0.000553,0.000634,0.000384,WDG+GR+GC+T+BP with AStarand Decomp,scens/empty-8-8-even-21.scen:,20
0.000341,1,3,92,378,50,50,50,50,0,0,0,0,1,0,0,1,0,0.000132,1e-06,3e-06,0,0,0,5.7e-05,1e-06,3e-06,4.9e-05,5.4e-05,0.000274,WDG+GR+GC+T+BP with AStarand Decomp,scens/empty-16-16-even-3.scen:,5
0.000129,1,4,41,154,30,30,30,30,0,1,0,0,0,0,0,0,0,1e-06,1e-06,4e-06,4e-06,0,0,3.6e-05,0,1e-06,4.2e-05,4.7e-05,9.9e-05,CG+GR+GC+T+BP with AStarand Decomp,scens/empty-8-8-even-17.scen:,5
0.000285,2,4,94,372,54,54,54,54,3,0,0,0,1,0,0,0,0,0,2e-06,9e-06,1.9e-05,5e-06,0,8.1e-05,1e-06,4e-06,7.5e-05,9e-05,0.000169,CG+GR+DC+T+BP with AStarand Decomp,scens/empty-8-8-even-17.scen:,10
0.000337,1,4,68,272,120,120,120,120,0,1,0,0,0,0,0,1,0,0.000138,3e-06,7e-06,7e-06,0,0,5.8e-05,2e-06,2e-06,5e-05,5.4e-05,0.00063,WDG+GR+DC+T+BP with AStarand Decomp,scens/empty-16-16-even-3.scen:,10
0.009851,24,46,3016,10840,448,448,448,448,26,9,2,0,11,0,0,0,0,8e-06,1.5e-05,0.000391,2e-05,3e-06,0,0.000346,7.9e-05,0.000231,0.003961,0.004371,0.00393,CG+GR+GC+T+BP with AStarand Decomp,scens/empty-16-16-even-9.scen:,40
0.000857,2,4,351,1523,238,238,238,238,2,0,0,0,1,0,0,0,0,0,0,3.5e-05,0,0,0,0,3e-06,1e-05,0.000177,0.000192,0.00198,CG+GR+DC+T+BP with AStarand Decomp,scens/empty-16-16-even-3.scen:,20
0.003698,12,24,538,1837,103,103,98,98,4,6,0,0,5,0,0,32,0,0.002466,4.2e-05,4.5e-05,5.1e-05,7e-06,0,0.000226,1.2e-05,2.2e-05,0.000477,0.000537,0.000231,WDG+GR+GC+T+BP with AStarand Decomp,scens/empty-8-8-even-21.scen:,20
0.014426,41,80,4539,16487,474,474,474,474,35,17,2,0,20,0,0,0,0,1.2e-05,2.4e-05,0.000608,3.6e-05,0,0,0.000454,0.000143,0.00036,0.006105,0.006767,0.003532,CG+GR+DC+T+BP with AStarand Decomp,scens/empty-16-16-even-9.scen:,45
0.000479,1,3,171,738,120,120,120,120,0,0,0,0,1,0,0,1,0,0.000128,2e-06,6e-06,0,0,0,5.5e-05,2e-06,2e-06,5.2e-05,5.7e-05,0.000554,WDG+GR+DC+T+BP with AStar,scens/empty-16-16-even-3.scen:,10
0.011045,14,26,1237,4641,346,346,345,345,16,3,2,0,7,0,0,43,0,0.005802,7.3e-05,0.000173,0.00025,1.8e-05,0,0.00132,4.4e-05,0.000111,0.00153,0.001802,0.002279,WDG+GR+GC+T+BP with AStarand Decomp,scens/empty-16-16-even-9.scen:,30
0.000176,1,3,89,339,54,54,54,54,0,0,0,0,1,0,0,0,0,0,2e-06,5e-06,0,1e-06,0,1.7e-05,1e-06,2e-06,2.7e-05,3.1e-05,0.000139,CG+GR+DC+T+BP with AStar,scens/empty-8-8-even-17.scen:,10
0.000219,1,3,92,378,50,50,50,50,0,0,0,0,1,0,0,1,0,7.9e-05,1e-06,2e-06,0,1e-06,0,3.5e-05,2e-06,1e-06,3.6e-05,3.9e-05,0.000228,WDG+GR+GC+T+BP with AStar,scens/empty-16-16-even-3.scen:,5
6e-05,0,1,38,139,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0,1e-06,0,0,0,0,0,0,0,0,6e-05,CG+GR+GC+T+BP with AStar,scens/empty-8-8-even-17.scen:,5
0.000824,3,6,224,966,188,188,188,188,3,0,0,0,2,0,0,0,0,1e-06,4e-06,2.4e-05,4.1e-05,2e-06,0,0.000273,5e-06,1.3e-05,0.000217,0.000234,0.001126,CG+GR+GC+T+BP with AStarand Decomp,scens/empty-16-16-even-3.scen:,15
0.000177,0,2,96,428,89,89,89,89,0,0,0,0,0,0,0,0,0,0,0,6e-06,0,0,0,0,0,0,0,0,0.000911,WDG+GR+DC+T+BP with AStarand Decomp,scens/empty-16-16-even-23.scen:,10
0.000244,2,4,99,384,52,52,52,52,1,0,1,0,0,0,0,0,0,0,0,8e-06,0,0,0,0,3e-06,3e-06,5.8e-05,6.3e-05,0.000265,CG+GR+DC+T+BP with AStarand Decomp,scens/empty-8-8-even-18.scen:,10
9.1e-05,0,2,46,202,41,41,41,41,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.000521,WDG+GR+GC+T+BP with AStarand Decomp,scens/empty-16-16-even-23.scen:,5
0.000857,4,6,297,1287,238,238,238,238,3,1,0,0,1,0,0,0,0,7e-06,5e-06,3.3e-05,0,0,0,0.000133,5e-06,1.1e-05,0.000189,0.000208,0.001665,CG+GR+DC+T+BP with AStarand Decomp,scens/empty-16-16-even-3.scen:,20
