runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name,number of agents,decompTime,MaxCompRuntime
0.019005,9,18,8811,25341,915,915,915,915,7,2,2,3,1,0,0,0,0,0,0,0.000157,0,0,0,0,3.2e-05,0.000776,0.010076,0.010242,0.009929,CG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-22.scen:,15,10,0.018975
0.000395,0,1,338,1304,333,333,333,333,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.001662,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-10.scen:,5,9,0
0.018867,9,18,9839,28210,1361,1361,1361,1361,4,1,1,5,1,0,0,0,0,4e-06,2e-06,0.000198,0,0,0,0.000156,2.1e-05,0.000577,0.007608,0.0079,0.011754,CG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-22.scen:,20,11,0.018485
0.010818,2,5,2501,7424,556,556,552,556,0,0,0,2,0,0,0,4,0,0.005233,4e-06,2.7e-05,0,0.000538,0,0.000746,1e-06,0.000221,0.002579,0.002604,0.005382,WDG+GR+DC+T+BP with AStar,scens/den312d-even-4.scen:,10,0,0
0.000417,0,1,338,1304,333,333,333,333,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.001637,WDG+GR+GC+T+BP with AStar,scens/den312d-even-10.scen:,5,0,0
0.001664,1,4,459,1796,259,259,259,259,0,1,0,0,0,0,0,0,0,0,0,9e-06,0,0,0,0,2e-06,4.6e-05,0.000299,0.000304,0.005206,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-6.scen:,5,12,0.00166
0.000994,1,3,459,1796,259,259,259,259,0,1,0,0,0,0,0,1,0,0.000367,1e-06,4e-06,0,0,0,0.000153,1e-06,3e-05,0.000178,0.000183,0.001541,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-6.scen:,5,5,0
0.002254,1,4,861,3337,570,570,570,570,0,0,0,0,1,0,0,0,0,0,0,2.9e-05,0,0,0,0,1e-06,5.7e-05,0.000466,0.000476,0.010715,WDG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-24.scen:,10,12,0.002239
0.001155,1,3,459,1796,259,259,259,259,0,1,0,0,0,0,0,1,0,0.00037,0,4e-06,0,0,0,0.000179,0,3.1e-05,0.000177,0.000182,0.002726,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-6.scen:,5,9,0
0.002846,3,6,1034,3723,570,570,568,570,1,0,0,0,2,0,0,3,0,0.001002,3e-06,2e-05,2.7e-05,0,0,0.00027,0,9.2e-05,0.000609,0.000625,0.005421,WDG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-24.scen:,10,9,0.001188
0.000999,1,3,459,1796,259,259,259,259,0,1,0,0,0,0,0,1,0,0.000368,1e-06,4e-06,0,1e-06,0,0.000153,0,3.1e-05,0.00018,0.000183,0.001592,WDG+GR+GC+T+BP with AStar,scens/den312d-even-6.scen:,5,0,0
0.025453,10,19,9457,27244,915,915,908,911,5,3,2,3,1,0,0,0,0,6e-06,4.3e-05,0.00019,0.00181,0.002838,0,0.004328,3.8e-05,0.001051,0.01333,0.013548,0.007971,CG+GR+GC+T+BP with AStar,scens/den312d-even-22.scen:,15,0,0
0.018683,9,18,9839,28210,1361,1361,1361,1361,4,1,1,5,1,0,0,0,0,4e-06,2e-06,0.00017,0,1e-06,0,0.000257,2e-05,0.000608,0.007807,0.008071,0.012061,CG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-22.scen:,20,10,0.018083
0.000302,0,2,164,637,205,205,205,205,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.004288,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-20.scen:,5,43,0.000298
0.000243,0,1,210,836,205,205,205,205,0,0,0,0,0,0,0,0,0,0,0,1e-06,0,0,0,0,0,0,0,0,0.001636,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-20.scen:,5,7,0
0.000375,0,1,210,836,205,205,205,205,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.002633,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-20.scen:,5,8,0
0.005032,3,6,1034,3723,570,570,568,570,1,0,0,0,2,0,0,3,0,0.001625,6e-06,3.1e-05,3.5e-05,3e-06,0,0.000484,1e-06,0.000214,0.001239,0.001259,0.008511,WDG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-24.scen:,10,13,0.002049
0.006113,5,12,4404,13430,911,911,911,911,0,0,0,3,2,0,0,0,0,0,0,6.2e-05,0,0,0,0,6e-06,0.000326,0.003236,0.003298,0.008917,CG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-4.scen:,15,10,0.006091
0.000404,0,1,210,836,205,205,205,205,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.00258,WDG+GR+GC+T+BP with AStar,scens/den312d-even-20.scen:,5,0,0
0.002188,1,3,861,3337,570,570,568,570,0,0,0,0,1,0,0,1,0,0.000521,2e-06,1.4e-05,0,0,0,5.3e-05,2e-06,5.9e-05,0.000462,0.000471,0.004174,WDG+GR+DC+T+BP with AStar,scens/den312d-even-24.scen:,10,0,0
