runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name,number of agents,decompTime
0.015551,3,5,2947,10728,1127,1127,1125,1127,2,0,0,2,0,0,0,6,0,0.00978,1.9e-05,7.7e-05,3.1e-05,0.000832,0,0.000911,3e-06,0.000198,0.002253,0.002354,0.006328,WDG+GR+GC+T+BP with AStar,scens/den312d-even-17.scen:,20,0
0.29049,111,221,81857,218571,1776,1776,1768,1775,4,103,5,2,0,0,0,153,7,0.152833,0.000648,0.001657,0.005846,0.000921,0,0.034436,0.000556,0.008347,0.085609,0.087703,0.009042,WDG+GR+DC+T+BP with AStar,scens/den312d-even-6.scen:,30,0
0.026668,8,15,12960,33806,1496,1496,1483,1487,2,0,1,4,2,0,0,0,0,0.000184,5.9e-05,0.000209,0.000854,0.003911,0,0.006477,2.8e-05,0.000638,0.011824,0.011997,0.009325,CG+GR+DC+T+BP with AStar,scens/den312d-even-13.scen:,20,0
0.106199,59,116,32619,94546,2381,2381,2381,2381,23,16,8,7,26,0,0,2,0,0.000475,1.4e-05,0.001615,0,0,0,0.000202,0.000178,0.004171,0.036019,0.03774,0.026718,WDG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-9.scen:,45,14
0.004683,5,10,2603,9973,1070,1070,1070,1070,1,1,0,3,0,0,0,0,0,0,0,0.00012,0,0,0,0,9e-06,0.000229,0.002328,0.002394,0.012382,CG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-23.scen:,20,11
0.028781,5,12,6890,17618,1173,1173,1173,1173,0,0,0,2,3,0,0,0,0,0,0,0.000183,0,0,0,0,1e-05,0.000674,0.008133,0.008244,0.021506,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-10.scen:,20,16
0.04226,15,30,18870,50463,1534,1534,1534,1534,6,5,4,5,0,0,0,0,0,0,0,0.000558,0,0,0,0,0.000116,0.001727,0.025478,0.026168,0.027034,CG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-6.scen:,25,20
0.005638,4,8,2005,7676,1070,1070,1068,1069,1,0,1,2,0,0,0,0,0,5e-06,4e-06,0.000111,0,0.000145,0,0.000187,1.6e-05,0.000224,0.001965,0.002015,0.014409,CG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-23.scen:,20,13
0.006712,5,9,2548,9955,1070,1070,1065,1068,1,1,0,3,0,0,0,0,0,0.000106,3.7e-05,0.000116,6.6e-05,0.000197,0,0.001107,3e-06,0.000256,0.002347,0.002425,0.010649,CG+GR+DC+T+BP with AStar,scens/den312d-even-23.scen:,20,0
0.028363,5,10,8530,20381,1173,1173,1171,1173,1,0,0,2,2,0,0,4,0,0.001469,7e-06,9.8e-05,1.6e-05,9.7e-05,0,0.000257,7e-06,0.000624,0.006647,0.006707,0.017586,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-10.scen:,20,16
